check_id	surface	scope	status	expected	observed	detail
input-checksum:sequences.fasta	input-checksum	workflow	passed	a3a401e5ab1e9c76e7b0793c86c69708186a550fadb2931fa6d66af61ceb6236	a3a401e5ab1e9c76e7b0793c86c69708186a550fadb2931fa6d66af61ceb6236	sequences.fasta still matches the checksum recorded in workflow-config.resolved.json
input-checksum:metadata.csv	input-checksum	workflow	passed	cca2178210f8c8b9850b0773228fbc5bb26d2c363db8d115b2996df9399111f2	cca2178210f8c8b9850b0773228fbc5bb26d2c363db8d115b2996df9399111f2	metadata.csv still matches the checksum recorded in workflow-config.resolved.json
workflow-setting:sequence_type	workflow-setting	workflow	passed	dna	dna	sequence_type still matches the recorded workflow setting
workflow-setting:outgroup_taxa	workflow-setting	workflow	passed	['bat_chile_rv108']	['bat_chile_rv108']	outgroup_taxa still matches the recorded workflow setting
workflow-setting:iqtree_seed	workflow-setting	workflow	passed	1	1	iqtree_seed still matches the recorded workflow setting
workflow-setting:iqtree_threads	workflow-setting	workflow	passed	1	1	iqtree_threads still matches the recorded workflow setting
workflow-setting:bootstrap_replicates	workflow-setting	workflow	passed	1000	1000	bootstrap_replicates still matches the recorded workflow setting
variant-selection:coverage	variant-selection	workflow	passed	['auto-gap-threshold', 'auto-gappyout', 'ginsi-gap-threshold', 'ginsi-gappyout']	['auto-gap-threshold', 'auto-gappyout', 'ginsi-gap-threshold', 'ginsi-gappyout']	current packaged variants still cover every recorded selected variant id
variant-setting:auto-gap-threshold	variant-setting	auto-gap-threshold	passed	"{""alignment_mode"": ""auto"", ""trim_gap_threshold"": 0.1, ""trimming_mode"": ""gap-threshold"", ""variant_id"": ""auto-gap-threshold""}"	"{""alignment_mode"": ""auto"", ""trim_gap_threshold"": 0.1, ""trimming_mode"": ""gap-threshold"", ""variant_id"": ""auto-gap-threshold""}"	current packaged variant settings still match the recorded selection
variant-setting:ginsi-gap-threshold	variant-setting	ginsi-gap-threshold	passed	"{""alignment_mode"": ""ginsi"", ""trim_gap_threshold"": 0.1, ""trimming_mode"": ""gap-threshold"", ""variant_id"": ""ginsi-gap-threshold""}"	"{""alignment_mode"": ""ginsi"", ""trim_gap_threshold"": 0.1, ""trimming_mode"": ""gap-threshold"", ""variant_id"": ""ginsi-gap-threshold""}"	current packaged variant settings still match the recorded selection
variant-setting:auto-gappyout	variant-setting	auto-gappyout	passed	"{""alignment_mode"": ""auto"", ""trim_gap_threshold"": 0.1, ""trimming_mode"": ""gappyout"", ""variant_id"": ""auto-gappyout""}"	"{""alignment_mode"": ""auto"", ""trim_gap_threshold"": 0.1, ""trimming_mode"": ""gappyout"", ""variant_id"": ""auto-gappyout""}"	current packaged variant settings still match the recorded selection
variant-setting:ginsi-gappyout	variant-setting	ginsi-gappyout	passed	"{""alignment_mode"": ""ginsi"", ""trim_gap_threshold"": 0.1, ""trimming_mode"": ""gappyout"", ""variant_id"": ""ginsi-gappyout""}"	"{""alignment_mode"": ""ginsi"", ""trim_gap_threshold"": 0.1, ""trimming_mode"": ""gappyout"", ""variant_id"": ""ginsi-gappyout""}"	current packaged variant settings still match the recorded selection
